name,brand,image_link,features,price,certificate_reps,product_type,content_by_ethos,certificates,packaging_type,ingredients,rating,url
"Delicious Vanilla Eau de Parfum, 50 ml",Florame,https://ec.nice-cdn.com/upload/image/product/large/default/157473_fcc64157.256x256.png,"Stimulates the skin,Irresistible spicy notes,Charming","€ 38,49",,,,,,"Alcohol Denat.,Fragrance,Citrus Aurantium Amara (Bitter Orange) Peel Oil,Daucus Carota Sativa Seed Oil,Eugenia Caryophyllus (Clove) Bud Oil,Carum Carvi (Caraway) Seed Oil,Linalool,Limonene","4,4",https://www.ecco-verde.com/florame/delicious-vanilla-eau-de-parfum
"Organic Amla Oil, 100 ml",Etnobotanika,https://ec.nice-cdn.com/upload/image/product/large/default/78307_6ce51d28.256x256.jpg,"For mature skin,For hair loss & grey hair,Firming effect","€ 21,99","USDA Organic,ECOCERT - Cosmos Organic",Hair Care,"Ayurveda ,     Minimal plastic packaging","USDA Organic,ECOCERT - Cosmos Organic",,Emblica Officinalis Fruit Powder,"4,8",https://www.ecco-verde.com/etnobotanika/organic-amla-oil
"Whitening Toothpaste, 100 ml",Avril,https://ec.nice-cdn.com/upload/image/product/large/default/62499_6cd65aac.256x256.png,"Brightening effects,Minty flavour,With organic aloe vera","€ 4,09","ECOCERT - Cosmos Organic,Vegan",,"Fluoride-free ,     Sulphate-free ,     Vegan","ECOCERT - Cosmos Organic,Vegan - Uncertified ",,"Aqua (Water),,Hydrated Silica,,Lauryl Glucoside,Xanthan Gum,Aroma,Charcoal Powder,bentonite (volcanic clay),Sodium benzoate,Stevia Rebaudiana Extract,Glycerin,citricacid,Echinacea Purpurea (Echinacea) Extract,Limonene","4,6",https://www.ecco-verde.com/avril/whitening-toothpaste-2
"Coconut & Hyaluronic Acid Moisturising Leave-in Conditioner, 100 ml",LÉA NATURE SO BiO étic,"https://ec.nice-cdn.com/upload/image/product/large/default/54054_7ab0ec15.256x256.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/54055_cc55d0d4.256x256.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/54054_7ab0ec15.128x128.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/54055_cc55d0d4.128x128.jpg","All hair types,Non-greasy & nourishing,Protective properties","€ 6,99","ECOCERT - Cosmos Organic,Cosmébio - COSMOS ORGANIC",Hair Care,,"ECOCERT - Cosmos Organic,Cosmébio - COSMOS ORGANIC",,"Aqua (Water),,Glycerin,Myristyl Alcohol,Coco Caprylate,,myristyl glucoside,Xanthan Gum,Sodium Stearoyl Glutamate,Parfum (Fragrance),,Linalool,Caesalpinia Spinosa Gum,Limonene,Sodium benzoate,sodium levulinate,citricacid,Sodium hydroxide,Helianthus Annuus (Sunflower) Seed Oil","4,4",https://www.ecco-verde.com/sobio-etic/coconut-hyaluronic-acid-moisturising-leave-in-conditioner
"Organic Eye Makeup Remover, 150 ml",Avril,https://ec.nice-cdn.com/upload/image/product/large/default/85093_23bbbe2f.256x256.jpg,"With revitalising orange blossom water,Soothes & moisturises the skin,Nourishing & enhances skin softness","€ 7,09","ECOCERT - Cosmos Organic,Vegan","Make-up ,","Alcohol-free ,     Sulphate-free ,     Vegan","ECOCERT - Cosmos Organic,Vegan - Uncertified ",,"Aqua (Water),Glycerin,Polyglyceryl-4-Caprate,,Centaurea Cyanus (Flower) Water,Caprylyl/Capryl Glucoside,Levulinic Acid,Sodium Gluconate,sodium levulinate,Bisabolol,Sodium PCA,olive oil polyglyceryl-6 esters,Sodium hydroxide,citricacid,Sodium benzoate,Parfum (Fragrance)","3,8",https://www.ecco-verde.com/avril/organic-eye-makeup-remover
"Hyaluronic Serum 200, 30 ml",Evolve Organic Beauty,"https://ec.nice-cdn.com/upload/image/product/large/default/89855_1bcd3284.256x256.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/89860_2fc16ce8.256x256.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/115036_366bcefa.256x256.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/115037_88d9da35.256x256.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/89855_1bcd3284.128x128.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/89860_2fc16ce8.128x128.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/115036_366bcefa.128x128.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/115037_88d9da35.128x128.jpg","Suitable for all skin types - especially dry skin,Deeply hydrating,Plumps & smooths the skin","€ 38,49","UK Vegan Society,ECOCERT - Cosmos Organic,Vegan",Serums,"Alcohol-free ,     Minimal plastic packaging,     Vegan","UK Vegan Society,ECOCERT - Cosmos Organic","Glass,     Cardboard,     Pump bottle","Aqua (Water),,,Glycerin,Pentylene Glycol,,Cellulose Gum,Algin,Phytic Acid,citricacid","4,3",https://www.ecco-verde.com/evolve-organic-beauty/hyaluronic-serum-200
"Organic Rosemary Hydrosol, 500 ml",Etnobotanika,https://ec.nice-cdn.com/upload/image/product/large/default/83705_b79fbff7.256x256.png,"Suitable for the skin & hair,Simulates blood flow,Doubles as a room mist","€ 17,89","ECOCERT - Cosmos Organic,Unisex,Vegan",Floral Water,"Ayurveda ,     Unisex,     Vegan","ECOCERT - Cosmos Organic,Vegan - Uncertified ","Bottle,     Spray bottle",,"4,6",https://www.ecco-verde.com/etnobotanika/organic-rosemary-hydrosol-4
"Detox Detoxing Foam Cleanser, 150 ml",NAOBAY,https://ec.nice-cdn.com/upload/image/product/large/default/56617_d9b2b15f.256x256.jpg,"Suitable for all skin types,Deep cleanser,Removes excess sebum","€ 8,99","ECOCERT - Cosmos Organic,Unisex",Facial Cleansers,"Alcohol-free ,     Unisex",ECOCERT - Cosmos Organic,,"Aqua (Water),Ammonium Lauryl Sulfate,,Lauryl Glucoside,Glycerin,Citrus Aurantium Dulcis (Orange) Fruit Water,Citrus Limon (Lemon) Fruit Extract,camelia sinensis leaf extract,,Sodium benzoate,Dehydroacetic Acid,Parfum (Fragrance)","4,2",https://www.ecco-verde.com/naobay/detox-detoxing-foam-cleanser
"Argan Oil, 100 ml",Avril,https://ec.nice-cdn.com/upload/image/product/large/default/50244_2179452a.256x256.jpg,"For dry skin & hair,Antioxidant effect,Intensively nourishing & regenerating properties,Vegan","€ 16,09","ECOCERT - Cosmos Organic,Unisex,Vegan",Body Oils,"Unisex,     Vegan","ECOCERT - Cosmos Organic,Vegan - Uncertified ",Pump bottle,,"3,9",https://www.ecco-verde.com/avril/argan-oil-13
"Freshness & Balance Shampoo , 250 ml",lavera,"https://ec.nice-cdn.com/upload/image/product/large/default/118224_21471197.256x256.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/118228_07a5f1be.256x256.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/118224_21471197.128x128.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/118228_07a5f1be.128x128.jpg","For oily hair,Wonderfully fresh scent,Very mild formula","€ 5,49","UK Vegan Society,ECOCERT - Cosmos Organic,Vegan",Shampoos,Vegan,"UK Vegan Society,ECOCERT - Cosmos Organic",Bottle,"Aqua (Water),Sodium Coco-Sulfate,Cocamidopropyl Betaine,Lauryl Glucoside,Decyl glucoside,Maris Sal (sea Salt),citricacid,,,,,camelia sinensis leaf extract,Glycerin,Glyceryl Undecylenate,Levulinic Acid,pca glyceryl oleate,sodium levulinate,,Parfum (Fragrance),Limonene,Linalool","5,0",https://www.ecco-verde.com/lavera/freshness-balance-shampoo-1
"Lifting Face Mask, 50 ml",Avril,https://ec.nice-cdn.com/upload/image/product/large/default/46552_89abf319.256x256.jpg,"Suitable for all skin types,Smooths the skin,For a radiant complexion,Vegan","€ 7,09","ECOCERT - Cosmos Organic,Unisex,Vegan",Face Masks,"Unisex,     Vegan","ECOCERT - Cosmos Organic,Vegan - Uncertified ",,"Aqua (Water),,Montmorillonite,,Glycerin,sucrose stearate,,Stearic Acid,Parfum (Fragrance),Prunus Cerasus (Bitter Cherry) Fruit Water,Helianthus Annuus (Sunflower) Seed Oil,Xanthan Gum,Dehydroacetic Acid,jania rubens extract","4,2",https://www.ecco-verde.com/avril/lifting-face-mask
"""Citrus Power"" Aroma Spray, 30 ml",Pranarôm,https://ec.nice-cdn.com/upload/image/product/large/default/141583_2a95b768.256x256.png,"Sparkling notes,Uplifts the mood,Stimulates & revitalises",,,,,,,"Citrus limon zeste,Citrus Bergamia (Bergamot),Citrus Aurantifolia (Lime),Citrus aurantium,Citrus Sinensis (Sweet Orange) Oil,Mentha spicata,Illicium Verum Oil","4,5",https://www.ecco-verde.com/pranarom/citrus-power-aroma-spray
"""Eucaly'Pur"" Aroma Spray, 30 ml",Pranarôm,https://ec.nice-cdn.com/upload/image/product/large/default/90746_4ab3ebfa.256x256.png,"Purifying effects,Cleans the air,Ideal for autumn & winter",,,,,,,"Cedrus atlantica (Cedar Wood),eucalyptus dives,Eucalyptus Smithii,Eucalyptus Globulus,Pinus Sylvestris,Mentha arvensis,Mentha Piperita,Origanum majorana,Vetiveria zizanoides","4,0",https://www.ecco-verde.com/pranarom/eucalypur-aroma-spray
"""Field of Provence"" Aroma Spray, 30 ml",Pranarôm,https://ec.nice-cdn.com/upload/image/product/large/default/141565_933f6b7f.256x256.png,"Clarifies,Refreshes,Warm notes",,,,,,,"lavandula super,Lavandula angustifolia,Rosmarinus officinalis,Cupressus Sempervirens,Salvia Sclarea,Pinus Sylvestris,Cedrus atlantica (Cedar Wood),Elettaria Cardamomum,Mentha spicata,Eucalyptus Globulus,Citrus Sinensis (Sweet Orange) Oil,Piper nigrum (Pepper)",,https://www.ecco-verde.com/pranarom/field-of-provence-aroma-spray
"AromaSelf Neutral Cleansing Base, 500 ml",Pranarôm,https://ec.nice-cdn.com/upload/image/product/large/default/90730_cfa6c63d.256x256.png,"Suitable for all skin & hair types,For the face, body & hair,Ideal for homemade cosmetics","€ 13,99","Pregnancy-safe ,Unisex,Vegan","2in1 Shampoo & Shower,     Body Cleansing",,Vegan - Uncertified ,Bottle,"Aqua (Water),coco-glucoside,Glycerin,Disodium Cocoyl Glutamate,Caprylyl/capryl Glucoside,Sodium Cocoyl Glutamate,Polyglyceryl-6 Oleate,Citric Acid,sodium surfactin,Levulinic Acid,Xanthan Gum,sodium levulinate,Glyceryl Caprylate,Sodium benzoate,Potassium Sorbate","4,5",https://www.ecco-verde.com/pranarom/aromaself-neutral-cleansing-base
"Organic Henna, 100 g",Etnobotanika,"https://ec.nice-cdn.com/upload/image/product/large/default/71220_b10ce365.256x256.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/71221_e1c1d308.256x256.png,https://ec.nice-cdn.com/upload/image/product/large/default/71222_a9034186.256x256.jpg,https://img.youtube.com/vi/zdKoqGUTqDo/hqdefault.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/71220_b10ce365.128x128.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/71221_e1c1d308.128x128.png,https://ec.nice-cdn.com/upload/image/product/large/default/71222_a9034186.128x128.jpg,https://img.youtube.com/vi/zdKoqGUTqDo/hqdefault.jpg","Plant powder,Brilliant shine,Covers grey hair","€ 16,79","USDA Organic,ECOCERT - Cosmos Organic,ECOGEA",,Plastic-free,"USDA Organic,ECOCERT - Cosmos Organic,ECOGEA",,Lawsonia Inermis (Henna),"4,9",https://www.ecco-verde.com/etnobotanika/organic-henna
"Intimate Soap Camomile, Calendula & Tea Tree, 20 ml",Essentiq,https://ec.nice-cdn.com/upload/image/product/large/default/40475_b100eec4.256x256.jpg,"With calming effect,Protects the mucous membranes,Rich in active plant ingredients","€ 1,99","ECOGEA,Vegan",Intimate Hygiene Care,Vegan,"ECOGEA,Vegan - Uncertified ",,"Aqua (Water),Lauryl Glucoside,,Lavandula Angustifolia (Lavender) Flower Water,Cocamidopropyl Betaine,,Glyceryl Oleate,Chamomilla Recutita (Matricaria) Flower Extract,,,Capryloyl/caproyl Methyl Glucamide,Lauroyl/myristoyl Methyl Glucamide,Sodium Cocoyl Hydrolyzed Amaranth Protein,citricacid,Lavandula Angustifolia (Lavender) Flower Oil,Citrus Paradisi (Grapefruit) Peel Oil,,Dehydroacetic Acid,Linalool,Limonene,Geraniol","4,5",https://www.ecco-verde.com/essentiq/intimate-soap-camomile-calendula-tea-tree
"KIDS Aloe Vera & Vanilla Kids Facial Cream, 50 ml",Essentiq,"https://ec.nice-cdn.com/upload/image/product/large/default/32898_21efc5e2.256x256.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/47707_8fd60e8f.256x256.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/32898_21efc5e2.128x128.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/47707_8fd60e8f.128x128.jpg","Nourishes,Contains vitamin E,Rich in plant oils,Hydrates","€ 14,69","ECOGEA,Vegan","Face Creams,     Baby & Kids","Ayurveda ,     Sulphate-free ,","ECOGEA,Vegan - Uncertified ","Airless dispenser,     Pump bottle","Aqua (Water),,,Isoamyl Laurate,Glycerin,,,,,crambe abyssinica seed oil phytosterol esters,,,Rubus Idaeus (Raspberry) Seed Extract,Avena Sativa (Oat) Kernel Oil,Glyceryl Caprylate,,hydrogenated ethylhexyl olivate,hydrogenated olive oil,ximenia americana bark extract,Propanediol,Stearic Acid,Palmitic Acid,Tocopheryl Acetate (Vitamin E),,Sclerotium Gum (Amigel),Xanthan Gum,pullulan,Sodium Stearoyl Glutamate,Bisabolol,Dehydroacetic Acid,Rosmarinus Officinalis (Rosemary) Leaf Extract,Helianthus Annuus (Sunflower) Seed Oil,Allantoin,sodium levulinate,Sodium Phytate,citricacid","3,2",https://www.ecco-verde.com/essentiq/kids-aloe-vera-vanilla-kids-facial-cream
"Organic Indigo, 100 g",Etnobotanika,"https://ec.nice-cdn.com/upload/image/product/large/default/71231_9f7e3f08.256x256.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/71232_89c905fd.256x256.png,https://ec.nice-cdn.com/upload/image/product/large/default/71233_bf33d277.256x256.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/71231_9f7e3f08.128x128.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/71232_89c905fd.128x128.png,https://ec.nice-cdn.com/upload/image/product/large/default/71233_bf33d277.128x128.jpg","Suitable for various dark hair colours,Mix with other plant powders,Covers grey hair","€ 16,79","USDA Organic,ECOCERT - Cosmos Organic,ECOGEA",,,"USDA Organic,ECOCERT - Cosmos Organic,ECOGEA",,Indigofera Tinctoria (Indigo),"5,0",https://www.ecco-verde.com/etnobotanika/organic-indigo
"Mamichku Deodorant Stick, 55 g",Nelipot,https://ec.nice-cdn.com/upload/image/product/large/default/157105_a6d162c8.256x256.png,"Suitable for all skin types,Fragrance-free,Moisturising properties","€ 12,99","ECOGEA,Pregnancy-safe ,Unisex,Vegan",,,"ECOGEA,Vegan - Uncertified ",,",,hydrogenated vegetable oil,Sodium Bicarbonate,Zea mays (corn) starch","4,2",https://www.ecco-verde.com/nelipot/mamichku-deodorant-stick
"Basic Deodorant Stick, 55 g",Nelipot,https://ec.nice-cdn.com/upload/image/product/large/default/69387_745585ae.256x256.jpg,"Suitable for all skin types, including sensitive skin,Protects & conditions,Sweet coconut scent","€ 12,99","ECOGEA,Unisex,Vegan",,"Unisex,","ECOGEA,Vegan - Uncertified ",,",,hydrogenated vegetable oil,Sodium Bicarbonate,Zea mays (corn) starch","3,9",https://www.ecco-verde.com/nelipot/basic-deodorant-stick
"Organic Amla, 100 g",Etnobotanika,"https://ec.nice-cdn.com/upload/image/product/large/default/71227_2515ee35.256x256.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/71228_41d10244.256x256.png,https://ec.nice-cdn.com/upload/image/product/large/default/71229_ef430e8c.256x256.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/71227_2515ee35.128x128.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/71228_41d10244.128x128.png,https://ec.nice-cdn.com/upload/image/product/large/default/71229_ef430e8c.128x128.jpg","Suitable for all hair types,Strengthening properties,Doubles as a face mask","€ 16,79","PETA Cruelty Free,USDA Organic,ECOCERT - Cosmos Organic,ECOGEA,Vegan","Raw Materials ,","Ayurveda ,     Vegan","PETA Cruelty Free,USDA Organic,ECOCERT - Cosmos Organic,ECOGEA",,Emblica Officinalis (Amla),"4,9",https://www.ecco-verde.com/etnobotanika/organic-amla
"Fruit Enzymes Facial Scrub, 60 ml",Essentiq,https://ec.nice-cdn.com/upload/image/product/large/default/126857_c37160de.256x256.png,"Suitable for all skin types, including acne-prone skin,Mild deep cleanser,Astringent properties","€ 16,49","ECOGEA,Gluten-free",Face Scrubs,"Alcohol-free ,     Gluten-free,     Sulphate-free ,",ECOGEA,,"Glycerin,Aqua (Water),Carica Papaya (Papaya) Fruit Extract,Ananas Sativus (Pineapple)  Fruit Extract,Vaccinium Myrtillus (Bilberry) Fruit Extract,Maltodextrin,Cellulose Gum,Xanthan Gum,","3,7",https://www.ecco-verde.com/essentiq/fruit-enzymes-facial-scrub
"Irof Deodorant Stick, 55 g",Nelipot,https://ec.nice-cdn.com/upload/image/product/large/default/69389_2da6ea2a.256x256.jpg,"Suitable for all skin types,Delicate fragrance notes,Biodegradable packaging","€ 12,99","ECOGEA,Unisex,Vegan",,"Unisex,     Vegan","ECOGEA,Vegan - Uncertified ",,",sodium,Sodium Bicarbonate,,hydrogenated vegetable oil,Zea mays (corn) starch,plumeria alba,Flower Extract,Linalool,Limonene,Geraniol","4,1",https://www.ecco-verde.com/nelipot/irof-deodorant-stick
"Cahen Deodorant Stick, 55 g",Nelipot,https://ec.nice-cdn.com/upload/image/product/large/default/73045_43801232.256x256.png,"Suitable for all skin types,Fresh scent,Free from aluminium salts","€ 12,99","ECOGEA,Unisex,Vegan",,"Free from aluminium salts,     Unisex,     Vegan","ECOGEA,Vegan - Uncertified ",,",Sodium Bicarbonate,,hydrogenated vegetable oil,Zea mays (corn) starch,,Geraniol,Linalool,Limonene","5,0",https://www.ecco-verde.com/nelipot/cahen-deodorant-stick
"Whitening Serum, 30 ml",Essentiq,https://ec.nice-cdn.com/upload/image/product/large/default/55601_884603de.256x256.jpg,"Suitable for all skin types,Combats pigmentation spots,Contains mulberry extract",,"ECOGEA,Unisex,Vegan",Serums,"Unisex,     Vegan","ECOGEA,Vegan - Uncertified ",,"Aqua (Water),,Morus Alba Bark Extract,Cucumis sativus (cucumber) seed extract,Hibiscus Sabdariffa Flower Extract,Vegetable Glycerin,Isoamyl Laurate,,,,,,Maltodextrin,ximenia americana bark extract,Propanediol,Glyceryl Caprylate,,Xanthan Gum,Tocopheryl Acetate (Vitamin E),Sodium Ascorbyl Phosphate,,Dehydroacetic Acid,Parfum (Fragrance),Sodium Stearoyl Glutamate,sodium levulinate,citricacid,Sodium Phytate,Sodium benzoate,Geraniol,Linalool,Limonene","5,0",https://www.ecco-verde.com/essentiq/whitening-serum
"Herbal Shampoo for Normal Hair Aloe Vera & Wheat Protein, 250 ml",Essentiq,https://ec.nice-cdn.com/upload/image/product/large/default/126860_6d3901db.256x256.png,"Rich in moisturizing ingredients,For shiny hair,Free from silicones, SLS & SLES","€ 12,59","ECOGEA,Vegan",Shampoos,Vegan,"ECOGEA,Vegan - Uncertified ",,"Aqua (Water),Lauryl Glucoside,,Cocamidopropyl Betaine,,Capryloyl/caproyl Methyl Glucamide,Lauroyl/myristoyl Methyl Glucamide,Glycerin,Hydrolyzed Wheat Protein,Glyceryl Oleate,Tilia platyphyllos flower extract,Sodium Cocoyl Hydrolyzed Amaranth Protein,Sorbitan Sesquicaprylate,polyglyceryl-10 oleate,Sodium chloride,citricacid,Sodium benzoate,Dehydroacetic Acid,Limonene,Linalool,Geraniol","3,4",https://www.ecco-verde.com/essentiq/herbal-shampoo-for-normal-hair-aloe-vera-wheat-protein
"Basic Deodorant Cream, 55 g",Nelipot,"https://ec.nice-cdn.com/upload/image/product/large/default/113402_50478676.256x256.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/113403_0e1dfb5f.256x256.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/65405_019d9a01.256x256.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/113402_50478676.128x128.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/113403_0e1dfb5f.128x128.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/65405_019d9a01.128x128.jpg","Suitable for sensitive skin,Neutralises unpleasant body odour,Moisturising effects","€ 12,99","ECOGEA,Unisex,Vegan",,"Plastic-free ,     Unisex,","ECOGEA,Vegan - Uncertified ",,",Zea mays (corn) starch,Sodium Bicarbonate,,hydrogenated vegetable oil","4,2",https://www.ecco-verde.com/nelipot/basic-deodorant-cream
"Anti Age & Anti-Wrinkle Serum, 30 ml",Essentiq,https://ec.nice-cdn.com/upload/image/product/large/default/55619_61fe0e92.256x256.jpg,"For mature & demanding skin,Regenerates & rebuilds,Stimulate collagen production","€ 34,99","ECOGEA,Vegan",Serums,Vegan,"ECOGEA,Vegan - Uncertified ",,"Aqua (Water),,Propanediol,,,hydrolyzed ulva lactuca extract,hydrolyzed halymenia durvillei polysaccharide (oligosulfogalactan),,,,Dicaprylyl Ether,,Glyceryl Caprylate,ximenia americana bark extract,Tocopheryl Acetate (Vitamin E),Sodium Stearoyl Glutamate,,,Xanthan Gum,Bisabolol,Rosmarinus Officinalis (Rosemary) Leaf Extract,Helianthus Annuus (Sunflower) Seed Oil,Dehydroacetic Acid,sodium levulinate,Allantoin,Parfum (Fragrance),Sodium benzoate,citricacid,Sodium Phytate","5,0",https://www.ecco-verde.com/essentiq/anti-age-anti-wrinkle-serum
"Shac Deodorant Cream, 55 g",Nelipot,"https://ec.nice-cdn.com/upload/image/product/large/default/58067_67d6623a.256x256.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/65406_7d326be3.256x256.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/58067_67d6623a.128x128.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/65406_7d326be3.128x128.jpg","Suitable for all skin types,Pleasant scent,Moisturising properties",,"ECOGEA,Unisex,Vegan",,"Plastic-free ,     Unisex,     Vegan","ECOGEA,Vegan - Uncertified ",,",Sodium Bicarbonate,Zea mays (corn) starch,,hydrogenated vegetable oil,,,Limonene,Geraniol,Linalool","4,7",https://www.ecco-verde.com/nelipot/shac-deodorant-cream
"Anti-Acne Serum, 30 ml",Essentiq,https://ec.nice-cdn.com/upload/image/product/large/default/55616_f4314a66.256x256.jpg,"For oil & impure skin,Refines the complexion,Regulates sebaceous secretion",,"ECOGEA,Vegan",Serums,Vegan,"ECOGEA,Vegan - Uncertified ",,"Aqua (Water),,Propanediol,,,Dicaprylyl Ether,rhodomyrtus tomentosa fruit extract,Pistacia Lentiscus (Mastic) Gum,,Crambe abyssinica seed oil,,Polyglyceryl-10 Laurate,Sodium Caproyl/lauroyl Lactyl Lactate,Serenoa serrulata fruit extract,Juniperus Communis Fruit Extract,,Glyceryl Caprylate,ximenia americana bark extract,Glycerin,Tocopheryl Acetate (Vitamin E),Sodium Stearoyl Glutamate,,,Xanthan Gum,,Bisabolol,Rosmarinus Officinalis (Rosemary) Leaf Extract,Helianthus Annuus (Sunflower) Seed Oil,oleyl alcohol,Dehydroacetic Acid,sodium levulinate,Allantoin,Sodium benzoate,citricacid,Sodium Phytate,Parfum (Fragrance),,,Geraniol,Linalool,Limonene","4,3",https://www.ecco-verde.com/essentiq/anti-acne-serum
"Angelc Deodorant Stick, 55 g",Nelipot,https://ec.nice-cdn.com/upload/image/product/large/default/73070_8d44e057.256x256.png,"Suitable for all skin types,Free from aluminium salts,Relaxing scent","€ 12,99","ECOGEA,Unisex,Vegan",,"Free from aluminium salts,     Unisex,     Vegan","ECOGEA,Vegan - Uncertified ",,",Sodium Bicarbonate,,hydrogenated vegetable oil,Zea mays (corn) starch,Lavandula Angustifolia (Lavender) Oil,vanilla planifolia leaf/twig oil,Geraniol,Linalool,Limonene","3,8",https://www.ecco-verde.com/nelipot/angelc-deodorant-stick
"Irof Deodorant Cream, 55 g",Nelipot,"https://ec.nice-cdn.com/upload/image/product/large/default/58070_359577ad.256x256.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/65407_1f0b987f.256x256.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/58070_359577ad.128x128.jpg,https://ec.nice-cdn.com/upload/image/product/large/default/65407_1f0b987f.128x128.jpg","For men & women,Frangipani & bergamot fragrance notes,Invigorating properties","€ 12,99","ECOGEA,Unisex,Vegan",,"Plastic-free ,     Unisex,     Vegan","ECOGEA,Vegan - Uncertified ",,",Sodium Bicarbonate,Zea mays (corn) starch,,hydrogenated vegetable oil,,plumeria alba flower extract,Linalool,Limonene,Geraniol","3,5",https://www.ecco-verde.com/nelipot/irof-deodorant-cream
"For Men Cardamom Tea 3-in-1 Shower Gel & Shampoo, 250 ml",Essentiq,https://ec.nice-cdn.com/upload/image/product/large/default/65031_d38e0742.256x256.jpg,"Suitable for all skin types,Doubles as a beard cleanser,Mild surfactants","€ 11,59","ECOGEA,Vegan","Men's Cosmetics ,     Body Cleansing",Vegan,"ECOGEA,Vegan - Uncertified ",,"Aqua (Water),Lauryl Glucoside,,,,Cocamidopropyl Betaine,Capryloyl/caproyl Methyl Glucamide,Lauroyl/myristoyl Methyl Glucamide,Glyceryl Oleate,polyglyceryl-10 oleate,Glycerin,hydrolyzed vegetable protein,hydroxypropyltrimonium inulin,pca glyceryl oleate,Maris Sal,Parfum (Fragrance),Elettaria Cardamomum Seed Oil,citricacid,Dehydroacetic Acid","3,8",https://www.ecco-verde.com/essentiq/for-men-cardamom-tea-3-in-1-shower-gel-shampoo
"Olive & Rosehip Facial Scrub, 60 ml",Essentiq,https://ec.nice-cdn.com/upload/image/product/large/default/126848_eb399feb.256x256.png,"Suitable for normal skin,Nourishes & hydrates,Pleasant & creamy texture",,"ECOGEA,Vegan",Face Scrubs,Vegan,"ECOGEA,Vegan - Uncertified ",,"Aqua (Water),,,,,Stearic Acid,,,Isoamyl Laurate,Vegetable Glycerin,,,Glyceryl Caprylate,Cetraria Islandica (Icelandic Moss) Extract,Crambe abyssinica seed oil,,hydrogenated ethylhexyl olivate,hydrogenated olive oil,Tocopheryl Acetate (Vitamin E),ximenia americana bark extract,Propanediol,Sodium Lauroyl Glutamate,,Xanthan Gum,Rosmarinus Officinalis (Rosemary) Leaf Extract,Helianthus Annuus (Sunflower) Seed Oil,oleyl alcohol,Bisabolol,Lavandula Angustifolia (Lavender) Flower Oil,Citrus Paradisi (Grapefruit) Peel Oil,sodium levulinate,Sodium Phytate,citricacid,Linalool,Limonene,Geraniol","5,0",https://www.ecco-verde.com/essentiq/olive-rosehip-facial-scrub
"Shac Deodorant Stick, 55 g",Nelipot,https://ec.nice-cdn.com/upload/image/product/large/default/69390_de38567e.256x256.jpg,"Suitable for all skin types,Lasting protection,Fresh lemongrass scent","€ 12,99","ECOGEA,Unisex,Vegan",,"Unisex,     Vegan","ECOGEA,Vegan - Uncertified ",,",Sodium Bicarbonate,,hydrogenated vegetable oil,Zea mays (corn) starch,,Cymbopogon Citratus/Flexuosus Leaf Oil,Limonene,Geraniol,Linalool","3,3",https://www.ecco-verde.com/nelipot/shac-deodorant-stick
